dataset,column,dtype,null_count,null_pct,unique_count,sample_values,is_in_master,possible_join_key
PDE,PDE_ID,str,0,0.0,515520,"['-10602140347', '-10602140348', '-10602140349']",False,False
PDE,BENE_ID,str,0,0.0,7403,"['-10000010254618', '-10000010254618', '-10000010254618']",True,True
PDE,SRVC_DT,str,0,0.0,2918,"['25-Mar-2015', '27-May-2016', '03-Oct-2016']",False,False
PDE,PD_DT,str,0,0.0,2918,"['25-Mar-2015', '27-May-2016', '03-Oct-2016']",False,False
PDE,PRSCRBR_ID_QLFYR_CD,str,0,0.0,1,"['01', '01', '01']",False,False
PDE,PRSCRBR_ID,str,0,0.0,2441,"['9999987089', '9999999569', '9999997109']",False,False
PDE,RX_SRVC_RFRNC_NUM,str,0,0.0,515520,"['-10602140347', '-10602140348', '-10602140349']",False,False
PDE,PROD_SRVC_ID,str,0,0.0,14627,"['68115025030', '53978010903', '55154010000']",False,False
PDE,PLAN_CNTRCT_REC_ID,str,0,0.0,10,"['Z0009', 'Z0005', 'Z0005']",False,False
PDE,PLAN_PBP_REC_NUM,str,0,0.0,1,"['999', '999', '999']",False,False
PDE,CMPND_CD,str,0,0.0,1,"['0', '0', '0']",False,False
PDE,DAW_PROD_SLCTN_CD,str,0,0.0,9,"['7', '1', '2']",False,False
PDE,QTY_DSPNSD_NUM,str,0,0.0,91,"['63', '7', '90']",False,False
PDE,DAYS_SUPLY_NUM,str,0,0.0,90,"['63', '7', '90']",False,False
PDE,FILL_NUM,str,0,0.0,13,"['1', '1', '1']",False,False
PDE,DSPNSNG_STUS_CD,str,0,0.0,1,"[' ', ' ', ' ']",False,False
PDE,DRUG_CVRG_STUS_CD,str,0,0.0,1,"['C', 'C', 'C']",False,False
PDE,ADJSTMT_DLTN_CD,str,0,0.0,1,"[' ', ' ', ' ']",False,False
PDE,NSTD_FRMT_CD,str,0,0.0,1,"[' ', ' ', ' ']",False,False
PDE,PRCNG_EXCPTN_CD,str,515520,100.0,0,[],False,False
PDE,CTSTRPHC_CVRG_CD,str,499982,97.0,2,"['A', 'C', 'C']",False,False
PDE,GDC_BLW_OOPT_AMT,str,0,0.0,77139,"['0.00', '0.00', '0.00']",False,False
PDE,GDC_ABV_OOPT_AMT,str,0,0.0,14943,"['0', '0', '0']",False,False
PDE,PTNT_PAY_AMT,str,0,0.0,17644,"['0.00', '0.00', '0.00']",False,False
PDE,OTHR_TROOP_AMT,str,0,0.0,1,"['0', '0', '0']",False,False
PDE,LICS_AMT,str,0,0.0,1,"['0', '0', '0']",False,False
PDE,PLRO_AMT,str,0,0.0,23467,"['55.04', '484.13', '240.98']",False,False
PDE,CVRD_D_PLAN_PD_AMT,str,0,0.0,55038,"['220.15', '1936.54', '963.93']",False,False
PDE,NCVRD_PLAN_PD_AMT,str,0,0.0,1,"['0.00', '0.00', '0.00']",False,False
